iter	Passed	Remaining
0	140	140315
1	141	70414
2	141	47138
3	142	35469
4	143	28463
5	143	23779
6	144	20437
7	144	17928
8	145	15976
9	145	14412
10	146	13140
11	146	12079
12	147	11177
13	147	10406
14	148	9738
15	148	9154
16	149	8639
17	149	8180
18	150	7769
19	150	7398
20	151	7064
21	152	6760
22	152	6481
23	153	6225
24	153	5996
25	154	5780
26	154	5580
27	155	5394
28	155	5220
29	156	5059
30	157	4908
31	157	4766
32	158	4631
33	158	4506
34	159	4387
35	159	4276
36	160	4170
37	160	4070
38	161	3975
39	161	3884
40	162	3796
41	162	3714
42	163	3637
43	163	3563
44	164	3491
45	164	3421
46	165	3360
47	166	3299
48	166	3240
49	167	3182
50	168	3128
51	168	3075
52	169	3023
53	169	2974
54	170	2926
55	170	2879
56	171	2834
57	171	2791
58	172	2748
59	172	2707
60	173	2667
61	173	2628
62	174	2591
63	174	2555
64	175	2521
65	175	2488
66	176	2455
67	176	2424
68	177	2392
69	178	2365
70	178	2337
71	179	2309
72	179	2281
73	180	2255
74	180	2229
75	181	2203
76	181	2178
77	182	2154
78	182	2130
79	183	2107
80	183	2085
81	184	2063
82	184	2039
83	185	2018
84	185	1997
85	186	1977
86	186	1957
87	187	1939
88	187	1920
89	188	1901
90	188	1883
91	189	1865
92	189	1850
93	190	1833
94	190	1817
95	191	1801
96	191	1785
97	192	1770
98	192	1755
99	193	1740
100	193	1725
101	194	1711
102	194	1697
103	195	1684
104	196	1670
105	196	1657
106	197	1644
107	197	1631
108	198	1619
109	198	1606
110	199	1594
111	199	1582
112	200	1570
113	200	1559
114	201	1548
115	201	1537
116	202	1525
117	202	1515
118	203	1504
119	203	1494
120	204	1484
121	204	1473
122	205	1463
123	205	1454
124	206	1444
125	206	1435
126	207	1425
127	208	1417
128	208	1408
129	209	1399
130	209	1390
131	210	1382
132	210	1373
133	211	1365
134	211	1356
135	212	1349
136	212	1340
137	213	1333
138	214	1326
139	214	1318
140	215	1311
141	215	1302
142	216	1295
143	216	1288
144	217	1281
145	217	1273
146	218	1266
147	218	1259
148	219	1252
149	219	1245
150	220	1238
151	220	1232
152	221	1225
153	221	1218
154	222	1212
155	222	1206
156	223	1199
157	224	1193
158	224	1187
159	225	1181
160	225	1174
161	226	1169
162	226	1164
163	227	1158
164	227	1153
165	228	1148
166	229	1142
167	229	1137
168	230	1131
169	230	1126
170	231	1121
171	231	1116
172	232	1111
173	232	1105
174	233	1100
175	234	1095
